InterfaceUID,InterfaceParentInterfaceUID,InterfaceMachineUID,InterfaceIP,InterfaceMAC,InterfaceNetworkUID,InterfaceDNSName,InterfaceSwitchNumber,InterfaceSwitchPosition,InterfaceNote,InterfacePreffered
N'59b7d28e-112c-464a-8c1c-749ba85475d6',N'                                    ',N'4dab2e45-d302-4c0f-adbe-f11cf92a9eb5',N'147.231.25.16',N'00:30:6e:2c:6a:42',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'golias16',N'sw009',N'H7',NULL,NULL
N'59d4f1ad-d8b1-4abc-af2c-1e38f168bfc6',N'                                    ',N'6a9a677f-9e6f-44ef-9ee9-dc8b85385d83',N'147.231.25.19',N'00:30:6e:2c:7c:b6',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'golias19',N'sw009',N'H10',NULL,NULL
N'5ba4e27d-49b4-4a00-9eae-c381c548027c',NULL,N'f0cf026f-6a78-4f54-b20d-8d473b73f989',N'172.16.2.42',N'00:1F:C6:D9:4E:08',N'6d31f21c-ceaf-4c22-9269-1730cd686456',N'iberis42',N'swL101',N'42',NULL,NULL
N'5bb5bf6e-978f-4dba-8cc6-f10b66a9d436',NULL,N'bf6261af-16e2-4dbd-90b7-d13d24a10065',N'172.16.6.10',N'E4:1F:13:22:64:62',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'ibis10',N'swL111',N'10',NULL,NULL
N'5bfb85ee-ea4c-42e1-bf2c-245e3b54e97b',N'                                    ',N'abc2d082-5508-4503-b8c0-57a05a1a6ac1',N'147.231.25.144',N'00:1B:78:E0:95:8C',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'golias144',N'swR051',N'9',NULL,NULL
N'5cd2da60-e58d-4f0c-b42c-00e41de74fff',NULL,N'fb7a8c19-24a9-436b-ac70-bc28361f834e',N'172.16.2.50',N'00:1F:C6:D9:46:B8',N'0dbc6c7f-99f8-4ca5-ae69-968c6655d996',N'iberis50',N'swL102',N'8',NULL,NULL
N'5d0a4b4b-f239-4370-b686-c60c5504b202',NULL,N'7cc2b7c9-be81-4423-b878-7ed3446d31be',N'172.16.2.73',N'00:1F:C6:D9:48:4E',N'6d31f21c-ceaf-4c22-9269-1730cd686456',N'iberis73',N'swL102',N'31',NULL,NULL
N'5d77126a-37d9-4443-8214-1afc14b362a7',NULL,N'c4afdabf-43f4-42c5-934d-d9cd64aa2eb2',N'10.26.201.139',N'00:04:23:b2:fa:20',N'479b8233-ce93-44fe-aaba-1f33e213e6ce',N'ldaps.fzu.cz',NULL,NULL,NULL,NULL
N'5e48c760-e2df-4716-b2ac-d5e458f0346a',NULL,N'6f044727-c5f0-4058-a107-67f34c48c5df',N'172.16.6.44',N'E4:1F:13:22:50:76',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'ibis44',N'swL112',N'12',NULL,NULL
N'5f269b54-4325-4d0c-8c85-f2d14fcd4a42',N'                                    ',N'e66f664d-71fb-434a-b7bf-c65c6fb74d26',N'147.231.25.39',N'00:11:85:c3:bf:96',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'netflow',N'swL031',N'4',NULL,NULL
N'5fac23f7-4734-4ca9-99a8-c65dca2b3925',NULL,N'074cc5c2-6796-4262-9dac-d3e5ed274a8c',N'172.16.5.13',N'00:30:48:C9:9F:A4',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'saltix13',N'swL052',N'6',NULL,NULL
N'60d59c8c-9e4f-472c-8b46-0460201c45ca',N'                                    ',N'bd393b10-7e2f-4e39-9e70-43064d83d8cb',N'147.231.25.132',N'00:18:FE:31:71:BA',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'golias132',N'swL082',N'16',NULL,NULL
N'61c49cb2-1d26-4216-a14b-dbfeed5b9d02',NULL,N'fcf29c7c-2d56-4c72-8099-fbc678e506ce',N'172.16.6.4',N'E4:1F:13:22:4A:F4',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'ibis04',N'swL111',N'4',NULL,NULL
N'61fb66e7-e4bd-46b2-a393-291712dbb277',N'                                    ',N'c35158a0-8bc4-44e8-95a6-f71713e97331',N'147.231.25.109',N'00:16:35:3A:22:CA',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'golias109',N'swL083',N'10',NULL,NULL
N'62068577-be17-418a-837d-3f808a7f1bba',NULL,N'cd11c6c5-7469-4723-8946-bbe7fc8f1a63',N'172.16.2.84',N'00:1F:C6:D9:46:CC',N'6d31f21c-ceaf-4c22-9269-1730cd686456',N'iberis84',N'swL102',N'42',NULL,NULL
N'62881aea-24d5-4034-a6a7-047c385ceadd',N'                                    ',N'135d7de5-aed3-4f86-bf6c-527b33a81a83',N'147.231.25.5',N'00:30:6e:2d:a4:6d',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'golias05',N'sw013',N'5',NULL,NULL
N'628b9127-ccfd-4835-a674-b823b4770b67',NULL,N'fce2bc00-cc13-478c-a7f5-a78f6991e1a7',N'172.16.2.29',N'00:1F:C6:65:18:B0',N'6d31f21c-ceaf-4c22-9269-1730cd686456',N'iberis29',N'swL101',N'29',NULL,NULL
N'6298c3e4-f665-4682-a0a4-a8ad5f5ee340',N'                                    ',N'5d55fb50-4375-461e-b9a8-2e0ddc121644',N'147.231.25.151',N'00:1C:C4:79:C9:C8',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'golias151',N'swR052',N'1',NULL,NULL
N'63601e4a-da93-4fde-8127-33afacd3d9f1',NULL,N'932b8d92-182f-460a-920a-3a5b61223e5e',N'147.231.25.52',N'00:25:90:0e:73:0a',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'xrootd2',N'swL012',N'13',NULL,NULL
N'645717b2-eb09-493c-80b1-a6dbdb50987c',NULL,N'3f613379-fc2b-4f34-8205-8669e20ba171',N'172.16.2.65',N'00:1F:C6:D9:4C:FC',N'6d31f21c-ceaf-4c22-9269-1730cd686456',N'iberis65',N'swL102',N'23',NULL,NULL
N'64a2baff-1a08-4f51-8f92-9e0684803c76',N'                                    ',N'32ea768f-b80a-4e10-a81e-cfa09ae037ca',N'147.231.25.128',N'00:18:71:E7:58:A2',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'golias128',N'swL082',N'8',NULL,NULL
N'6522747d-6913-4c6e-91b6-a7a9c75188e0',N'                                    ',N'94272254-f108-4ba1-92a5-1642f29bf2ae',N'147.231.25.172',N'00:23:7D:3B:43:38',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'golias172',N'swR052',N'15',NULL,NULL
N'656ac550-be2d-45ca-b303-a095c1d1b5cb',N'                                    ',N'feeadd41-93f4-4440-91b1-0928d1fd0ecb',N'147.231.25.115',N'00:18:71:E7:D8:C4',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'golias115',N'swL083',N'14',NULL,NULL
N'663d2d04-97da-493c-8367-4976eb019353',N'                                    ',N'7d419a43-4d02-4a01-8d39-f49f71baf76b',N'147.231.25.226',N'00:1C:C4:77:CD:F6',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'storage5',N'sw253',N'3/3',NULL,NULL
N'669796a4-054a-4c22-a3b0-3d48eef3b550',N'                                    ',N'87553583-89c9-47f8-92d3-8282f99b9a41',N'147.231.25.122',N'00:18:71:E7:28:1B',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'golias122',N'swL082',N'11',NULL,NULL
N'671f284a-b7cb-45c8-855f-242fbbb2ea8e',N'                                    ',N'928a4193-38bf-46f7-bfb6-f6ce19fdac4c',N'147.231.25.166',N'00:23:7D:3B:05:F0',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'golias166',N'swR051',N'8',NULL,NULL
N'672cc9ae-2a35-4c7e-a56c-c8a5749d5b8a',NULL,N'40ec92bd-64b8-407e-8b1b-d014cd3ead24',N'172.16.2.4',N'00:1F:C6:DA:19:CE',N'6d31f21c-ceaf-4c22-9269-1730cd686456',N'iberis04',N'swL101',N'4',NULL,NULL
N'67b7f4c3-ec70-4873-a702-7ecdbccaa74a',N'                                    ',N'5f39b4e8-63d9-4350-83ce-526e5c5d218c',N'147.231.25.35',N'00:0f:20:7a:18:c2',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'goliasx35',N'swL031',N'37',NULL,NULL
N'67dbd2cd-7b97-4063-95b3-0940ced6be6b',NULL,N'0aa2aa72-3740-46c8-bd03-83a204b20e0e',N'172.16.6.34',N'E4:1F:13:22:77:B8',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'ibis34',N'swL112',N'2',NULL,NULL
N'686d67f1-145d-46bd-840b-04510f4f063f',NULL,N'c827aa71-6723-4570-ab78-e5d8b8df510c',N'10.26.202.40',N'00:17:31:EC:DF:8D',N'3a9e668d-e858-47c0-9998-3c9846838134',N'thsun32.fzu.cz',NULL,NULL,NULL,NULL
N'688386c0-593d-419e-9b7b-ab543db57f28',NULL,N'24addc9a-435a-4b28-9939-074f8b79b984',N'147.231.25.30',N'F4:CE:46:21:8A:DD',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'storage8',N'sw253',N'35',NULL,NULL
N'68ddc362-3d32-419e-9865-c6bb53198a37',NULL,N'c72cb567-2dfd-4463-b099-da0f17b6a434',N'172.16.2.68',N'00:1F:C6:D9:4D:EC',N'6d31f21c-ceaf-4c22-9269-1730cd686456',N'iberis68',N'swL102',N'26',NULL,NULL
N'698536c4-8e93-434f-af4f-b9fb31d24849',NULL,N'774291da-e37d-4c64-af4f-054a0e72d339',N'172.16.2.47',N'00:1F:C6:D9:4C:CA',N'6d31f21c-ceaf-4c22-9269-1730cd686456',N'iberis47',N'swL102',N'5',NULL,NULL
N'6a46b68f-41cb-45b7-82ef-0159f006785d',N'                                    ',N'8d63091c-3bc7-4381-9a4d-96964783e0f1',N'172.16.4.10',N'00:0f:20:7a:e7:9c',N'6d31f21c-ceaf-4c22-9269-1730cd686456',N'hypericum10',N'swL041',N'5',NULL,NULL
