InterfaceUID,InterfaceParentInterfaceUID,InterfaceMachineUID,InterfaceIP,InterfaceMAC,InterfaceNetworkUID,InterfaceDNSName,InterfaceSwitchNumber,InterfaceSwitchPosition,InterfaceNote,InterfacePreffered
N'7e733c15-c738-4ee5-99f4-db6dc4f9a009',NULL,N'1aa399c0-e6ca-4306-a76b-4e19755bf303',N'172.16.6.2',N'E4:1F:13:22:80:6A',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'ibis02',N'swL111',N'2',NULL,NULL
N'80525f6a-43c7-4335-a634-c57794c63839',NULL,N'0752f29b-b814-41ce-a32f-2fce8009a8ab',N'172.16.1.7',N'00:30:48:C6:49:72',N'6d31f21c-ceaf-4c22-9269-1730cd686456',N'salix07',N'swL051',N'7',NULL,NULL
N'820948a5-2fc1-4e39-8b9d-b23cd81218f1',NULL,N'7fcc0119-33f9-40ec-b15b-d123cc13d5e4',N'172.16.5.1',N'00:30:48:CA:A8:92',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'saltix01',N'swL051',N'41',NULL,NULL
N'82a005c9-5cc9-4481-8746-7ffb7f0e141d',NULL,N'621b22b4-214b-41af-a03a-9a7380790519',N'147.231.25.251',N'00:23:7d:34:24:9e',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'hyperwin',N'sw253',N'3/48',NULL,NULL
N'82f16006-bc24-44b2-8928-611b07b4cf1b',N'                                    ',N'b653455c-0307-4cba-b347-898884779060',N'172.16.4.7',N'00:0f:20:7a:f7:0e',N'6d31f21c-ceaf-4c22-9269-1730cd686456',N'hypericum07',N'swL041',N'2',NULL,NULL
N'8376981f-524b-4274-bbd9-bc5a26286c46',NULL,N'fd23cbca-01aa-4547-a1cf-a33082439310',N'147.231.25.17',N'00:23:7D:36:40:FC',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'sam3',N'sw253',N'3/10',NULL,NULL
N'83a8fbb6-2391-496e-8581-2ca409e30ba4',N'                                    ',N'58ae2b92-1e4d-41fb-97bc-2b357882048b',N'172.16.4.56',N'00:12:79:3a:c3:b9',N'6d31f21c-ceaf-4c22-9269-1730cd686456',N'hypericum56',N'swL071',N'20',NULL,NULL
N'841f698f-1502-4343-903a-f6d865e4ebf6',NULL,N'a2cfb265-8365-4e01-9817-da2decd3fe47',N'172.16.6.48',N'E4:1F:13:22:82:0E',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'ibis48',N'swL112',N'16',NULL,NULL
N'84671694-ab99-43be-ad75-df73a8891618',NULL,N'92fb193f-e60d-4b4d-b7b9-4f62a66728e5',N'172.16.2.17',N'00:1F:C6:D9:45:40',N'0dbc6c7f-99f8-4ca5-ae69-968c6655d996',N'iberis17',N'swL101',N'17',NULL,NULL
N'84b7ae38-bb1a-4336-940c-2a8ba7c6f4da',N'                                    ',N'd44e3b79-e933-41ce-b71a-c44bf9ac08da',N'147.231.25.110',N'00:16:35:3A:82:AC',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'golias110',N'swL083',N'11',NULL,NULL
N'855baa91-7367-45ab-8fce-2b32c209ba1f',NULL,N'6986664f-79a5-4618-88f7-93f77955bb00',N'172.16.1.32',N'00:30:48:C6:A8:A2',N'6d31f21c-ceaf-4c22-9269-1730cd686456',N'salix32',N'swL051',N'32',NULL,NULL
N'85a93507-970b-4d39-9be5-610dd7b2a291',NULL,N'7795153e-342e-4016-a14e-a20a1a6de012',N'172.16.2.60',N'00:1F:C6:DA:1E:4C',N'6d31f21c-ceaf-4c22-9269-1730cd686456',N'iberis60',N'swL102',N'18',NULL,NULL
N'8804bb6e-b4b5-402d-873e-714f94be71b6',N'                                    ',N'c560ee6a-6eb8-4663-921f-d18eb271fee9',N'172.16.4.22',N'00:0f:20:7a:18:7c',N'6d31f21c-ceaf-4c22-9269-1730cd686456',N'hypericum22',N'swL041',N'17',NULL,NULL
N'887c1dde-ec61-4734-9d1c-443da8e83916',N'                                    ',N'069ede68-f0be-48ed-964e-17bcd5152c70',N'147.231.25.11',N'00:30:6e:11:6f:3a',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'golias11',N'sw013',N'11',NULL,NULL
N'88a9b36d-c4d3-47f9-a882-6ed0f7fd00f9',N'                                    ',N'afec5715-7716-4b43-b095-87a10bae50e2',N'147.231.25.138',N'00:1C:C4:AA:D9:8E',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'golias138',N'swL081',N'9',NULL,NULL
N'8b12a540-50e2-44c8-8dca-9d3ca7ea2e37',N'                                    ',N'13dc3a5f-ee82-4f56-a200-816573ba72ab',N'147.231.25.6',N'00:30:6e:2c:6d:1a',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'golias06',N'sw013',N'6',NULL,NULL
N'8b65175e-346c-4191-9e94-20eee3306ff1',NULL,N'3432aad0-9ffa-445a-9fdb-ca32983fd489',N'172.16.2.82',N'00:1F:C6:DA:1A:9C',N'6d31f21c-ceaf-4c22-9269-1730cd686456',N'iberis82',N'swL102',N'40',NULL,NULL
N'8bffc4ba-ab1a-4966-8ba0-a8cfb9781388',N'                                    ',N'15ad6d04-50a7-45e8-9faa-037e83d26d6c',N'172.16.4.50',N'00:12:79:3a:c3:23',N'6d31f21c-ceaf-4c22-9269-1730cd686456',N'hypericum50',N'swL071',N'14',NULL,NULL
N'8c597d71-5da4-4842-a98e-2b376b04bd80',NULL,N'52ec0f77-2686-49e2-bb14-0511c5a3d4af',N'172.16.1.6',N'00:30:48:C5:81:4A',N'6d31f21c-ceaf-4c22-9269-1730cd686456',N'salix06',N'swL051',N'6',NULL,NULL
N'8cf2ca8d-a798-4a00-9aa1-777652d43064',NULL,N'8b8fa5e5-b22f-4bf1-832b-69fa9856d8a2',N'172.16.2.81',N'00:1F:C6:DA:18:06',N'6d31f21c-ceaf-4c22-9269-1730cd686456',N'iberis81',N'swL102',N'39',NULL,NULL
N'8d426019-aa0f-41f5-95ad-e57eff3138ae',N'                                    ',N'5c820988-2e3e-4b93-949d-294961c931c5',N'172.16.4.38',N'00:0f:20:7a:18:92',N'6d31f21c-ceaf-4c22-9269-1730cd686456',N'hypericum38',N'swL041',N'32',NULL,NULL
N'8d789aad-ddcf-46ce-908f-3308c83788cd',N'                                    ',N'fbddd1a1-154f-4176-b816-dc78f3241d17',N'147.231.25.33',N'00:0f:20:7a:e7:90',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'golias33',N'swL071',N'6',NULL,NULL
N'8def10f0-cdd4-43bf-b69c-6e5edde4a791',N'                                    ',N'7d56dd97-870c-490f-869c-80eeeb3935e5',N'172.16.4.52',N'00:0f:20:d0:d8:89',N'6d31f21c-ceaf-4c22-9269-1730cd686456',N'hypericum52',N'swL071',N'16',NULL,NULL
N'8eca6d7e-9044-42a0-9d06-02dfd139cd4b',NULL,N'd4ed2360-6d56-41e9-9dd6-8769f36e635d',N'147.231.27.86',N'00:00:00:00:00:00',N'0dbc6c7f-99f8-4ca5-ae69-968c6655d996',N'ui.dorje.fzu.cz',NULL,NULL,NULL,NULL
N'8f03d237-892d-4f14-aeea-d6eb75afd0bb',N'                                    ',N'0beb6ea5-39b0-49d4-8ff4-7c47e60e96e4',N'147.231.25.18',N'00:0E:7F:FD:86:97',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'sam2',N'swL031',N'31',NULL,NULL
N'8f2546c4-8fcd-419f-ae5b-f9dddaee964c',N'                                    ',N'00df65d7-8d4e-4f9c-92d5-da0942945095',N'147.231.25.235',N'00:23:7D:34:22:FA',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'ha1',N'swR071',N'21',NULL,NULL
N'8f9ff197-9c35-4a1f-9af6-cc3c6c50493b',NULL,N'a5fb73e1-b9cd-4c28-b520-47f9bd280276',N'172.16.6.58',N'E4:1F:13:22:68:94',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'ibis58',N'swL112',N'26',NULL,NULL
N'9047a0a4-ad9f-4732-b510-7bd80bf8582d',NULL,N'0152b9a0-1f26-40f2-b131-9f1ea14d50e7',N'172.16.7.8',N'e4:1f:13:ef:34:32',N'6d31f21c-ceaf-4c22-9269-1730cd686456',N'ib08',N'swL111',N'37',NULL,NULL
N'905e7e6c-32ec-4dd9-a2f4-3c704dcad88a',N'                                    ',N'ad566758-a11d-422a-9159-f08e17ab02d6',N'147.231.25.3',N'00:30:6e:2d:73:94',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'golias03',N'sw013',N'3',NULL,NULL
N'916b3cb8-0438-49d6-ab3b-f21a419b7efc',N'                                    ',N'95361655-5794-46db-b25a-a4ed31c1c1b9',N'147.231.25.101',N'00:16:35:3A:82:2A',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'golias101',N'swL083',N'1',NULL,NULL
N'92170525-9074-4c1b-a9e8-26996079e69b',NULL,N'4ace3261-a93a-45b5-9ec3-4d28e5d99820',N'172.16.2.44',N'00:1F:C6:D9:46:9E',N'6d31f21c-ceaf-4c22-9269-1730cd686456',N'iberis44',N'swL102',N'2',NULL,NULL
N'92af3bf6-95ee-4170-b41d-e12df8ffc40f',N'                                    ',N'9c1df7a8-b98b-4e15-909c-301db3fedfd0',N'147.231.25.116',N'00:18:FE:87:10:BB',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'golias116',N'swL083',N'16',NULL,NULL
N'935359eb-3835-4ab2-92b6-7682c8698796',N'                                    ',N'd4ed141b-f63e-4d43-9651-98c00c091307',N'147.231.25.223',N'00:00:1a:19:3c:aa',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'storage3',N'swL031',N'30',NULL,NULL
N'937fafd9-9fc2-4aa3-8bae-c203bfe6d697',NULL,N'cdf37f9c-9731-44ea-8dbc-20f68766e85a',N'147.231.25.31',N'00:24:21:9B:4A:92',N'0dbc6c7f-99f8-4ca5-ae69-968c6655d996',N'dpmpool13',N'sw253',N'4/3',NULL,1
N'945520d9-284a-4b7f-9c19-3ab10b3e8804',N'                                    ',N'4c9d29ef-c68c-49b8-90cb-eac299722147',N'147.231.25.34',N'00:0f:20:7a:e7:c2',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'golias34',N'swL011',N'3/6',NULL,NULL
N'947e3cf6-4fbd-419e-be53-42e04df583bd',NULL,N'baaf16d3-2d97-448f-93a1-bf916fc523bf',N'147.231.25.229',N'00:10:18:4a:37:f8',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'backup',N'swR081',N'29',NULL,NULL
N'94dbe5a1-4242-4d54-93e1-497c0089d624',NULL,N'08158613-5593-4e36-ae75-1e8096722ef9',N'172.16.6.28',N'E4:1F:13:22:74:46',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'ibis28',N'swL111',N'28',NULL,NULL
N'9554e172-9e70-4201-aac6-0000f89801ee',NULL,N'aca4c14c-13bd-4751-a92a-ef0980a9193f',N'192.168.253.82',N'00:05:1e:5b:f7:95',N'12001c79-93a2-43c4-9833-59ec442f436c',N'fcswR082.monitor',N'swR081',N'13',NULL,NULL
N'95a78372-8cc4-4e08-bcfb-c9653bca8f23',NULL,N'1d80c48a-4730-4238-9f6e-dbca131eeb14',N'172.16.2.25',N'00:1F:C6:DA:1A:F6',N'6d31f21c-ceaf-4c22-9269-1730cd686456',N'iberis25',N'swL101',N'25',NULL,NULL
N'95d898eb-5f67-45bd-bb5a-9d25d4eb65f9',N'                                    ',N'5b068e77-dbfd-467b-bd9e-c4831cd95600',N'147.231.25.1',N'00:30:6e:2c:4d:22',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'golias01',N'sw013',N'1',NULL,NULL
N'962e3340-2806-47bd-b221-cbd8d6438748',NULL,N'a49be8bb-b0a1-4f0e-82ad-0dc5e6469db0',N'172.16.2.57',N'00:1F:C6:DA:1C:4E',N'6d31f21c-ceaf-4c22-9269-1730cd686456',N'iberis57',N'swL102',N'15',NULL,NULL
N'96a33f0b-8fd2-4425-864e-56790b18ed38',NULL,N'1aefb68b-f272-4bfc-80e4-6e7da4b999a0',N'192.168.1.53',N'00:25:90:08:89:8e',N'12001c79-93a2-43c4-9833-59ec442f436c',N'sam4.monitor',N'swL031',N'17',NULL,NULL
N'96e48c50-c576-44a6-8811-57edc709ee13',NULL,N'13c5e1a2-9ead-482e-b442-9251220eac51',N'147.231.26.186',N'00:00:00:00:00:00',N'0dbc6c7f-99f8-4ca5-ae69-968c6655d996',N'maia.fzu.cz',N'swL071',N'29',NULL,NULL
N'9777a0cc-8556-48ec-ba51-d5fd2b14457c',NULL,N'cde8b37c-f3a4-4032-a7c2-1647ecfa8a2d',N'10.26.202.12',N'00:09:3D:10:5A:79',N'3a9e668d-e858-47c0-9998-3c9846838134',N'thsun13.fzu.cz',NULL,NULL,NULL,NULL
N'984d316a-1110-4e5c-8f4b-7c38c26f0a99',N'                                    ',N'ef81e4cf-8f54-450a-9d89-88c21a3cf839',N'147.231.25.155',N'00:19:BB:24:EE:00',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'golias155',N'swR052',N'5',NULL,NULL
N'99686f7f-2f70-40ec-9ab1-b4c05762dfca',N'                                    ',N'f0987c83-0758-4405-8630-93292daf34f1',N'172.16.4.13',N'00:0f:20:7a:e7:68',N'6d31f21c-ceaf-4c22-9269-1730cd686456',N'hypericum13',N'swL041',N'8',NULL,NULL
N'9b5bd47b-4e8b-455b-822b-5fda6d09578e',N'                                    ',N'ce85415e-7a9e-42bd-a744-837feeac66f2',N'147.231.25.10',N'                 ',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'golias10',N'sw013',N'10',NULL,NULL
N'9cf3a936-d18c-4e75-91d0-69b808ab8d83',NULL,N'edb80b75-5c38-4e49-8f66-3a2c9a9b8788',N'147.231.25.236',N'00:23:7D:34:E3:4C',N'0dbc6c7f-99f8-4ca5-ae69-968c6655d996',N'ha2',N'swL071',N'20',NULL,NULL
N'9d0a9c5e-6ac3-4ddf-9ee0-516dfaba3830',NULL,N'8876492c-96d1-49b3-bd9e-823b9bc54670',N'172.16.2.80',N'00:1F:C6:DA:19:A2',N'6d31f21c-ceaf-4c22-9269-1730cd686456',N'iberis80',N'swL102',N'38',NULL,NULL
N'9eadf5e6-3dc8-455a-bd0d-d9ebee3aca15',NULL,N'c2e62042-cf74-431c-9c48-91ea15a7de46',N'172.16.6.29',N'E4:1F:13:22:7B:6C',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'ibis29',N'swL111',N'29',NULL,NULL
N'9f02917d-6c45-4612-ab67-7ddb1ff1e600',NULL,N'7c733883-1d21-4d5c-a797-037dc4508fdf',N'172.16.5.15',N'00:30:48:C9:A0:54',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'saltix15',N'swL052',N'8',NULL,NULL
N'a01d3515-2c83-4835-a96e-881de1db6edf',NULL,N'75432707-9e44-4ca5-ab39-48e5653ddaed',N'172.16.2.3',N'00:1F:C6:D9:47:3A',N'0dbc6c7f-99f8-4ca5-ae69-968c6655d996',N'iberis03',N'swL101',N'3',NULL,NULL
N'a02aacb9-81e3-4ebb-87de-e0114f2ffce6',NULL,N'2eb8901b-4480-42e4-9b0d-4bdbd6c42fb3',N'10.26.202.23',N'00:07:E9:24:AF:37',N'3a9e668d-e858-47c0-9998-3c9846838134',N'thsun01.fzu.cz',NULL,NULL,NULL,1
N'a1efd2f5-558f-4bbc-8d28-ccecba0b06ff',N'                                    ',N'5e43027a-67ef-43ad-afbf-8f60630e7ebb',N'147.231.25.98',N'00:16:35:3B:8E:36',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'goliasx98',N'sw253',N'3/44',NULL,NULL
N'a32ffc27-df81-4086-b917-8f07db42ffc7',N'                                    ',N'edb80b75-5c38-4e49-8f66-3a2c9a9b8788',N'147.231.25.236',N'00:23:7D:34:E3:4C',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'ha2',N'swR071',N'19',NULL,NULL
N'a40f1dc1-706b-4b3c-8c97-cf14bb7fb875',N'                                    ',N'39cb0bfd-1fae-4628-9f46-f8a50dfee253',N'147.231.25.134',N'00:18:71:E7:DA:6C',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'golias134',N'swL081',N'1',NULL,NULL
N'a41259ac-2b0c-4a32-a8a6-efb4cded1d6f',NULL,N'7eda0522-0e33-41fc-b744-efcba421f9f3',N'172.16.2.8',N'00:1F:C6:D9:46:A6',N'0dbc6c7f-99f8-4ca5-ae69-968c6655d996',N'iberis08',N'swL101',N'8',NULL,NULL
N'a443d336-fca5-4197-8b79-555a512f147b',NULL,N'f149d34d-3199-4ae4-aa2e-ae41833aabc2',N'192.168.254.12',N'00:01:e8:6d:8d:1f',N'12001c79-93a2-43c4-9833-59ec442f436c',N'swL012.monitor',NULL,NULL,NULL,NULL
N'a469ff74-2b3e-4e00-9924-9a2bd6000e03',NULL,N'7fb0a31b-2d8e-4268-ab7b-c2ea495f6a1c',N'172.16.6.40',N'E4:1F:13:22:7A:C4',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'ibis40',N'swL112',N'8',NULL,NULL
N'a50e1c25-0d30-4456-bc54-0790bebfbd1c',N'                                    ',N'63f9b990-4224-48d1-90cf-85be24dbb801',N'147.231.25.159',N'00:19:BB:3F:F0:02',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'golias159',N'swR052',N'11',NULL,NULL
N'a63b3428-55d7-49de-b7cf-5f82c12038ad',NULL,N'86f885a3-b8ea-41ca-8e81-a53ab26d4c75',N'172.16.2.7',N'00:1F:C6:D9:4D:CE',N'6d31f21c-ceaf-4c22-9269-1730cd686456',N'iberis07',N'swL101',N'7',NULL,NULL
N'a6ad8779-9bb5-487e-b327-222ae7320657',NULL,N'8db37bf3-8992-4843-ba89-70872f32671a',N'172.16.1.22',N'00:30:48:C6:49:64',N'6d31f21c-ceaf-4c22-9269-1730cd686456',N'salix22',N'swL051',N'22',NULL,NULL
N'a763c62f-7c0e-42c6-a764-faba3e670926',NULL,N'6ff46500-be38-4734-a1bb-2f0513de3790',NULL,N'00:00:00:00:00:00',N'0dbc6c7f-99f8-4ca5-ae69-968c6655d996',N'SB 03-5',NULL,NULL,NULL,NULL
N'a8dc81d5-976c-4d7d-a7ec-b99ea1740dde',NULL,N'91b736cf-6f7e-4793-84d3-d6220466b51d',N'172.16.6.17',N'E4:1F:13:22:66:96',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'ibis17',N'swL111',N'17',NULL,NULL
N'a9a78755-f727-487c-8d25-78e4a8a571f7',N'                                    ',N'91f65969-1a28-4920-8a00-a057bf254f6e',N'147.231.25.113',N'00:18:71:E7:3A:68',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'golias113',N'swL083',N'15',NULL,NULL
N'a9ae57c3-7832-479c-8e74-2a9fab4cac0f',NULL,N'eeaf3382-e43a-4625-9e48-7ae96ec1830e',N'172.16.1.31',N'00:30:48:C6:A8:A0',N'6d31f21c-ceaf-4c22-9269-1730cd686456',N'salix31',N'swL051',N'31',NULL,NULL
N'aa63a950-4de9-424e-a1f9-c4164657be9c',N'                                    ',N'2d116eb7-7c63-461c-a66a-5879630707f1',N'172.16.4.12',N'00:0f:20:7a:e7:e4',N'6d31f21c-ceaf-4c22-9269-1730cd686456',N'hypericum12',N'swL041',N'7',NULL,NULL
N'abbb52db-fe32-400d-8086-d3b6c73a4480',N'                                    ',N'f4954c7d-e673-4cf9-9b31-e2145a2e3ced',N'147.231.25.139',N'00:1C:C4:AA:E9:8E',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'golias139',N'swL081',N'7',NULL,NULL
N'ac2b9b3b-4398-4236-909a-10bc35470c33',N'                                    ',N'b8cf14f6-f04f-4b4c-890d-a286756d163c',N'147.231.25.168',N'00:23:7D:9D:48:0E',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'golias168',N'swR051',N'14',NULL,NULL
N'ad78322b-bb2f-489b-8a7a-9dcd70229dfb',NULL,N'b543fe98-080c-47ac-b4af-6d96e76df9fb',N'172.16.7.16',N'e4:1f:13:ef:0d:8c',N'6d31f21c-ceaf-4c22-9269-1730cd686456',N'ib16',N'swL112',N'35',NULL,NULL
N'adc26736-0992-47dc-b957-cf5e8b4c990d',NULL,N'af863808-100a-4c51-b7a2-fac8ec9e4dab',N'172.16.7.2',N'e4:1f:13:ef:2a:cc',N'6d31f21c-ceaf-4c22-9269-1730cd686456',N'ib02',N'swL111',N'43',NULL,NULL
N'ae915127-b372-4dde-9781-a4467e5142d9',NULL,N'c99be328-d7bc-4a84-8e46-3aeca29a2e81',NULL,N'00:00:00:00:00:00',N'0dbc6c7f-99f8-4ca5-ae69-968c6655d996',N'SB 03-2',NULL,NULL,NULL,NULL
N'af38f2b1-2f4d-45ff-8be3-e8f4599871a2',NULL,N'05ca03c8-95cb-43e7-8f8b-c96929e7d005',N'172.16.1.39',N'00:30:48:7C:70:BC',N'6d31f21c-ceaf-4c22-9269-1730cd686456',N'salix39',N'swL051',N'39',NULL,NULL
N'af9222ad-15f6-48d8-b3dc-f26293e6ff03',N'                                    ',N'a9548895-d130-4615-98c3-3d0fb035764f',N'147.231.25.4',N'00:30:6e:2c:7c:a0',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'golias04',N'sw013',N'4',NULL,NULL
N'b0363f4d-6027-4ae4-be23-decbdcad356e',NULL,N'19dd2010-803a-408f-aed8-efaddd15542d',N'172.16.2.51',N'00:1F:C6:D9:46:84',N'0dbc6c7f-99f8-4ca5-ae69-968c6655d996',N'iberis51',N'swL102',N'9',NULL,NULL
N'b081821a-5256-4926-bbf5-7095fc09ee78',NULL,N'f3372cca-116b-4bca-9179-48841367101b',N'172.16.5.8',N'00:30:48:C9:CA:BA',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'saltix08',N'swL052',N'1',NULL,NULL
N'b09b23f2-65f3-4216-9718-1a80974cef38',NULL,N'f2222208-caf3-4d77-9a1d-deb0c62c2fea',N'192.168.252.21',N'00:05:1e:8a:91:ee',N'12001c79-93a2-43c4-9833-59ec442f436c',N'fcswL021.monitor',NULL,NULL,NULL,NULL
N'b0ba7dbf-8de7-4e5a-976a-3e85390ac10b',NULL,N'460161b2-a47e-4ce6-81c7-5d903bce4933',N'172.16.6.42',N'E4:1F:13:22:7A:BE',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'ibis42',N'swL112',N'10',NULL,NULL
N'b156f950-a242-4603-b277-5819427cfc3b',N'                                    ',N'ef477d7b-b2fa-4b9a-a7e5-7d4e9c4f80bb',N'172.16.4.4',N'00:0f:20:7a:18:c8',N'6d31f21c-ceaf-4c22-9269-1730cd686456',N'hypericum04',N'swL031',N'40',NULL,NULL
N'b2875035-112e-4bb5-be55-7ec16bc05114',NULL,N'0d0a7103-ea45-4b46-85a6-c399103c3d88',N'172.16.6.64',N'E4:1F:13:22:82:08',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'ibis64',N'swL112',N'32',NULL,NULL
N'b3ac076c-3ce5-46f3-ae03-76667d59047d',N'                                    ',N'3c32deda-42d0-4438-ac2f-ce78d9c060d8',N'147.231.25.127',N'00:18:71:E7:58:A7',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'golias127',N'swL082',N'6',NULL,NULL
N'b512630c-105a-4a69-9ac4-d991670e063a',N'                                    ',N'02919d9a-7b50-4816-86d0-1cd1ce8da050',N'172.16.4.44',N'00:0f:20:7a:e7:88',N'6d31f21c-ceaf-4c22-9269-1730cd686456',N'hypericum44',N'swL041',N'38',NULL,NULL
N'b5623c8e-20a1-4ebf-8bda-d0b94f39ce1d',NULL,N'34d831b8-df06-46c4-9a80-59ec7fdfc840',N'172.16.6.30',N'E4:1F:13:22:80:A6',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'ibis30',N'swL111',N'30',NULL,NULL
N'b56df7ce-733f-49a7-a14e-de11a7b606d3',NULL,N'990d0694-def1-49cc-be2d-0378e7e5d86b',N'147.231.25.51',N'00:25:90:0b:57:28',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'xrootd1',N'swL012',N'14',NULL,NULL
N'b5afd97f-d1e1-453e-95d8-c1f82ca4c0db',NULL,N'd6ff79d1-1d0e-4e42-9320-6135823e86f1',N'172.16.5.14',N'00:30:48:C9:A3:90',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'saltix14',N'swL052',N'7',NULL,NULL
N'b6171bd6-35f5-4f6c-8608-70bed4ec888f',NULL,N'8d67ef5b-f763-4370-a1a4-11e35c47beb1',N'147.231.25.46',N'00:00:00:00:00:00',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'dpmpool8',N'swL013',N'0',NULL,NULL
N'b6236ee9-4da5-477f-9b51-58e617b15c06',N'                                    ',N'd183bef0-ec9d-4f22-8d7d-e3ae44b9f526',N'147.231.25.158',N'00:19:BB:38:B4:7A',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'golias158',N'swR052',N'10',NULL,NULL
N'b67870c8-4fbd-423f-b839-ed9427df9e1b',NULL,N'179020cc-b463-4c1d-956a-00b882475b58',N'172.16.2.30',N'00:1F:C6:DA:1D:AA',N'6d31f21c-ceaf-4c22-9269-1730cd686456',N'iberis30',N'swL101',N'30',NULL,NULL
N'b6bf0967-3e78-441b-9b7d-1ca16e72599f',NULL,N'dd7f1c30-4042-4d18-a293-7b8f5cccf2d1',N'172.16.2.79',N'00:1F:C6:D9:46:7A',N'6d31f21c-ceaf-4c22-9269-1730cd686456',N'iberis79',N'swL102',N'37',NULL,NULL
N'b77e6a7a-19a3-4b2a-b97e-6719ace4011a',NULL,N'0c95a4a0-87f4-40a5-9b66-10d857a58442',N'172.16.2.21',N'00:1F:C6:D9:46:70',N'0dbc6c7f-99f8-4ca5-ae69-968c6655d996',N'iberis21',N'swL101',N'21',NULL,NULL
N'b78d42af-27c1-4836-ac39-89d13a0caefe',NULL,N'a5888ff6-71c1-4b69-941b-c35c6a01d7a1',N'172.16.2.20',N'00:1F:C6:DA:1B:30',N'6d31f21c-ceaf-4c22-9269-1730cd686456',N'iberis20',N'swL101',N'20',NULL,NULL
N'b7ef8b86-861f-42b5-b76f-12df8e705a5f',NULL,N'c2c3881e-c4dd-435c-9716-a9846984a546',N'192.168.2.201',N'00:50:cc:13:0f:d1',N'12001c79-93a2-43c4-9833-59ec442f436c',N'ultamus4800down-2.monitor',N'swR081',N'19',NULL,NULL
N'b811d5ed-09b6-4fb9-ac6d-f8dc9152bd05',NULL,N'b002cbb6-6017-4559-863c-9b88f33e6d44',N'172.16.1.33',N'00:30:48:C6:AA:1E',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'salix33',N'swL051',N'33',NULL,NULL
N'b817a3f4-7df7-4daa-a4ab-1e5ec9dfa4b5',N'                                    ',N'238c897b-ded3-4925-9a27-d91f9205ba3b',N'147.231.25.13',N'00:30:6e:2c:7c:d6',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'golias13',N'sw013',N'13',NULL,NULL
N'b8949f79-1692-4426-be66-c546a4fc00b2',N'                                    ',N'81293f08-94e8-4b2c-88ef-122be0d2cfa2',N'172.16.4.24',N'00:0f:20:7a:18:a2',N'6d31f21c-ceaf-4c22-9269-1730cd686456',N'hypericum24',N'swL041',N'19',NULL,NULL
N'b9dc122a-d5eb-46dd-befa-cee2a402f163',N'                                    ',N'f35452f0-3c4c-4643-9779-a2004d91f181',N'147.231.25.163',N'00:23:7D:9D:55:DC',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'golias163',N'swR051',N'5',NULL,NULL
