NetworkUID,NetworkName,NetworkIP,NetworkVLAN,NetworkMask,NetworkNote
N'0dbc6c7f-99f8-4ca5-ae69-968c6655d996',N'FZU',N'147.231.26.0',200,N'255.255.254.0',NULL
N'12001c79-93a2-43c4-9833-59ec442f436c',N'Monitoring',N'192.168.0.0',8,N'255.255.0.0',NULL
N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'Golias 25.x',N'147.231.25.0',25,N'255.255.255.0',NULL
N'3a9e668d-e858-47c0-9998-3c9846838134',N'svypocty',N'10.26.202.0',202,N'255.255.255.0',N'ustavni sit pro vypocty'
N'479b8233-ce93-44fe-aaba-1f33e213e6ce',N's',N'10.26.201.0',201,N'255.255.255.0',NULL
N'6d31f21c-ceaf-4c22-9269-1730cd686456',N'Golias-NAT',N'172.16.0.0',172,N'255.255.0.0',N''
N'9751c60e-c319-45c5-a6c1-22fa7e63c4cb',N'ss',N'10.26.205.0',205,N'255.255.255.0',N'sit FZU pro ovladani prepinacu'
